CJM Phase;Pain Point;COD;Text Extracts
Phase 1: Modeling Approach Definition and Justification;I had difficulty showing the model's value to my stakeholders.;TE - 1.1.1;"""I don’t know what your experience is if you want to explain to people what it is or what semantics is. But it’s difficult. Indeed, it’s very difficult and it is also very difficult to present the advantages of creating a truly ontological model."" (I16)"
;;TE - 1.2.2;"""Perché purtroppo questo [il modello] ha inevitabilmente dei tempi medi l’impatto che ha sull’azienda un tempo medio non immediato cioè il beneficio no e non ho trovato un modo per fargli vedere il valore immediato e quindi dovevo convincerli a investire in un periodo medio a vedere dei risultati attendere i risultati. Ecco su questa parte qui durissima veramente dura perché hanno altri obiettivi."" (I6)"
;I faced resistance from the stakeholders in adopting a model-based approach.;TE - 1.2.1;"""And, so, he was thinking. Yeah. That’s because it was a smart guy. He was thinking 'Well, it is nice'. But they also, at the same time, were thinking 'It was my role to protect my implementation phase. So we are not going to do this [the model]'. That’s also really interesting; I think. Because it shows that one could think about what would be the right phase to be helpful with this kind of model."" (I12)"
;;TE - 1.2.2;"""Allora ecco questo è un elemento che io lo vedo positivo [sul modello]. Però mi sono accorto che in alcuni contesti può addirittura diventare delicato da trattare che è la trasparenza. C’è sicuramente l’elemento primo è la trasparenza l’allineamento tra tutte le persone. E qua possono anche uscire però delle parti insospettabili che a volte le persone partecipano non si aspettano certe parti e vivono come dire bene nell’ignoranza. Sembra quasi incredibile ma all’interno dell’azienda ognuno c’è in silos in cui vivono. A volte li protegge anche dal punto di vista della cioè entrano anche fattori diversi dal tecnico tipo di carriera più politici. Per cui questo può essere un impatto che il modello che va valutato e non è facile da valutare può creare degli effetti di sconquasso. A me è capitato di non arrivare a termine del modello perché sono diventate troppo forti queste forze."" (I6)"
Phase 4: Model Creation;It took me a lot of effort to make models with a nice layout.;TE - 4.1.1;“E outra coisa são as dificuldades em fazer layout de modelos. É muito ruim assim. As ferramentas são muito ruins para você conseguir fazer o layout de modelo direitinho. Conseguir botar as linhas como se quer, fazer tudo isso, parece uma coisa tão boba, uma coisa que as ferramentas já deveriam ter resolvido, mas elas não fizeram. São muito ruins de fazer isso.” (I8)
;The modeling tools did not implement the language completely.;TE - 4.2.1;“Por exemplo o Asta, pelo menos assim, eu me lembro, mas eu posso estar falando besteira. Mas eu lembro que o Asta por exemplo não representa generalization sets direitinho. Um exemplo de UML. Não cobre a linguagem inteira de UML. [...] Então acho que são exemplos de problemas dessas ferramentas. Suporte a todos os constructos da linguagem também.” (I8)
;There were a lot of costs involved in the model development.;TE - 4.3.1;“Il primo sul costo cioè quando la scrittura di un modello efficace era troppo costosa. Egli è stato quindi egli è stato percepito da subito come un ostacolo e accantonato.” (I6)
;Modeling without enough domain knowledge was error-prone.;TE - 4.4.1;"""A gente começava a discutir e já ia modelando. E a gente percebia que esse desenvolvimento no início era muito complicado. Porque nós, TIC, né? A gente tinha o conhecimento mais, é, digamos, consistente, da linguagem e de técnicas de modelagem. Porém, como a gente não entendia do negócio, a gente percebia que a gente errava muitas vezes até chegar no elemento, num assunto ou a representação fiel daquilo que estava sendo colocado."" (I1)"
;;TE - 4.4.2;"""I was thinking 'Yes, but if you want to analyze this, then you should pose this question to someone who knows'. And that was also very interesting. I think ‘Why are we sometimes stuck?'. So that, then, we really didn’t know what to do anymore. So even if we wanted to analyze more deeply, we couldn’t really do that because the question would fail up, I would say. It really shows that I think that working together with people that have the [domain] knowledge would be a very good idea. But I have to admit that in this program, we never really did that."" (I12)"
;The modeling tools did not fully support my needs.;TE - 4.5.1;“There are not a lot of modeling tools or architectural tools that go beyond. The means to draw, off course, they have some basic rules like relations cannot be connected to each other, objects or classes cannot be connected to each other. You need to have relations to connect classes and stuff like that. So, the more obvious drawing errors are prevented. But that’s almost standard for all sorts of editing tools, so that doesn’t help much. We really need to have support in the more. Complex things that you as a human cannot directly oversee.” (I16)
;;TE - 4.5.2;“Então, tem problemas das ferramentas. Eu acho que as ferramentas não têm uma maturidade que deveriam ter para representação. A gente acaba tendo que ter uma disciplina muito grande para usar uma ferramenta de modelagem sem cair na direção dos desenhos. Sem fazer, sem transformar aquilo ali em desenho. Então as ferramentas não ajudam.” (I8).
;It took me too long to start modeling.;TE - 4.6.1;“In my opinion we need to have several months to talk to each other in order to get an initial understanding. But it should not happen. It should not have been one year. It could have been much quicker. If we were at. If you had to start early, started building up by just making stuff and showing each other what we could do.” (I16)
Phase 5: Model Testing and Evaluation;I was not sure if my model fulfilled the requirements.;TE - 5.1.1;“We have requirements that we don’t know. If we cannot check the alignment between the requirements and, let’s say, the model, the validation, if the valid. So, the question would be how you could validate if you don’t understand the model” (I12)
;The other stakeholders did not understand my model and I had difficulties explaining it.;TE - 5.2.1;“Então assim, essa, esse primeiro ciclo foi bem desafiador. Até eles conseguirem entender que você chega num determinado nível. É claro, que assim, na primeira semana que foi a primeira semana de treinamento, é, eles não alcançaram. Eles sabiam do que estava sendo dito. Eles aprenderam o que os conceitos que o UFO trazia de: kind, subkind, role, phase. Eles entendiam isso. Mas eles ainda não conseguiam desenvolver por si só.” (I1)
;;TE - 5.2.2;“Não era o foco ensinar OntoUml, não era o foco ensinar ontologia. Ontologia no sentido de ensiná-los a fazer ontologia. Isso gerava uma certa tensão porque era difícil para poder acompanhar e tomar decisões significativas sobre sobre o que estava sendo feito.” (I2)
Phase 6: Model Implementation;I was the only one on the team capable of using and reusing the model.;TE - 6.1.1;“O público consegue entender uma ontologia e raciocinar sobre ontologia é muito pequeno ainda.” (I2)
;There were wasted opportunities to reuse the model.;TE - 6.2.1;“Allora, esternamente o no perché c’è una questione di ribattezza nel senso che non riservatezza del modello. Sono gelosi del loro modello che è appunto uno dei problemi della trasparenza. Non perché diventa troppo leggibile a quel punto diventa usabile, ma il riuso in certi contesti non è voluto fuori.” (I6)
;The language I chose had limitations that made it difficult to generate software from a model.;TE - 6.3.1;“Isso é a dificuldade que é a dificuldade que normalmente a ontologia está muito distante no espaço da solução que você pretende ter no final das contas. Mas é essa talvez, isso talvez fale com relação ao que eu falei que era o ponto fraco de adotar OntoUML, de não ser uma solução madura ainda nesse aspecto específico que é a gente não tem como gerar um protótipo só a partir da ontologia. Se a gente tivesse isso, seria mais rápido esse processo, a gente não teria que ter tanta intervenção manual.” (I2)
